id,mse,suspicious,error
207,11446.2,,
210,11410.7,,
188,11356.2,,
22,11248.7,,
150,11209.7,,
209,11142.5,,
376,11077.6,,
261,11010.4,,
24,10879.2,,
120,10763.6,,
161,10759.3,,
355,10744.1,,
128,10736.6,,
151,10722.0,,
294,10686.7,,
103,10682.6,,
352,10651.7,,
189,10642.7,,
212,10635.1,,
118,10628.3,,
90,10627.1,,
338,10627.0,,
167,10623.6,,
195,10593.7,,
363,10590.1,,
178,10519.1,,
222,10517.9,,
250,10492.7,,
91,10491.1,,
317,10474.5,,
113,10465.1,,
205,10443.7,,
49,10393.5,,
42,10392.2,,
66,10390.1,,
190,10381.0,,
117,10358.6,,
233,10348.6,,
140,10341.2,,
97,10333.7,,
114,10327.8,,
263,10327.6,,
194,10314.7,,
193,10295.2,,
202,10275.4,,
375,10243.9,,
73,10213.8,,
134,10200.8,,
94,10199.7,,
368,10186.5,,
119,10178.5,,
145,10150.5,,
77,10144.2,,
85,10142.4,,
164,10131.8,,
185,10111.8,,
88,10108.0,,
268,10105.6,,
45,10102.8,,
344,10102.8,,
111,10095.5,,
89,10090.8,,
160,10081.6,,
129,10068.8,,
65,10058.3,,
64,10057.9,,
8,10056.7,,
341,10047.3,,
36,10042.9,,
220,10029.5,,
96,10027.2,,
197,10024.1,,
53,10018.3,,
324,10012.4,,
165,9998.4,,
44,9987.7,,
87,9975.5,,
351,9966.6,,
35,9958.4,,
131,9938.5,,
382,9929.9,,
310,9923.1,,
296,9922.4,,
20,9911.3,,
112,9906.9,,
108,9901.3,,
232,9893.2,,
174,9886.9,,
339,9882.4,,
60,9878.2,,
308,9868.7,,
311,9853.8,,
14,9849.8,,
316,9832.5,,
343,9829.8,,
148,9777.1,,
374,9767.3,,
136,9763.8,,
348,9746.5,,
74,9744.1,,
75,9742.2,,
27,9729.4,,
253,9726.2,,
217,9712.3,,
380,9701.8,,
15,9698.3,,
10,9692.3,,
12,9675.5,,
298,9664.0,,
230,9658.3,,
215,9658.2,,
116,9657.4,,
50,9656.3,,
201,9648.2,,
13,9647.9,,
38,9647.4,,
55,9646.5,,
228,9643.2,,
156,9628.9,,
78,9628.5,,
234,9622.3,,
177,9615.4,,
349,9614.5,,
81,9608.8,,
154,9594.0,,
240,9593.3,,
52,9590.7,,
57,9589.9,,
121,9587.6,,
105,9570.4,,
200,9564.7,,
256,9551.1,,
373,9551.1,,
204,9549.1,,
251,9547.6,,
191,9546.2,,
358,9545.0,,
347,9541.4,,
69,9537.5,,
227,9520.9,,
43,9514.4,,
84,9509.1,,
370,9478.7,,
403,9474.1,,
46,9452.9,,
153,9450.0,,
273,9442.9,,
40,9442.0,,
159,9435.2,,
371,9421.0,,
279,9420.9,,
142,9418.0,,
223,9400.4,,
39,9395.7,,
221,9390.7,,
309,9387.4,,
70,9385.8,,
5,9385.0,,
206,9382.3,,
218,9382.2,,
19,9377.5,,
76,9368.9,,
158,9338.4,,
122,9338.0,,
6,9334.5,,
404,9327.8,,
231,9326.5,,
7,9312.1,,
333,9301.0,,
241,9299.3,,
245,9298.1,,
252,9288.7,,
299,9267.2,,
304,9263.3,,
302,9259.3,,
166,9256.5,,
284,9238.8,,
297,9237.1,,
353,9235.7,,
192,9233.1,,
356,9232.4,,
224,9196.8,,
315,9185.3,,
110,9180.0,,
2,9170.1,,
216,9157.2,,
169,9154.0,,
63,9152.5,,
141,9149.9,,
396,9140.2,,
381,9135.2,,
247,9125.7,,
306,9112.8,,
359,9088.4,,
80,9080.7,,
320,9076.2,,
170,9066.6,,
25,9064.9,,
332,9053.2,,
123,9048.1,,
47,9017.1,,
285,9016.4,,
83,9014.9,,
180,9014.7,,
235,9013.6,,
99,9006.9,,
198,9005.6,,
125,9001.6,,
95,8967.9,,
379,8964.4,,
248,8963.7,,
157,8946.9,,
281,8901.8,,
242,8875.7,,
262,8866.3,,
239,8861.5,,
226,8845.3,,
292,8839.9,,
162,8835.4,,
107,8826.9,,
377,8823.7,,
334,8816.3,,
199,8814.5,,
144,8812.2,,
405,8806.8,,
369,8794.8,,
56,8786.9,,
246,8785.9,,
163,8783.1,,
372,8751.9,,
366,8726.0,,
401,8720.7,,
155,8670.7,,
31,8669.2,,
293,8666.3,,
258,8654.7,,
314,8653.2,,
102,8647.4,,
135,8645.8,,
257,8643.0,,
147,8637.6,,
243,8622.1,,
34,8616.3,,
391,8567.5,,
98,8564.4,,
386,8560.9,,
211,8557.7,,
272,8550.7,,
214,8530.7,,
357,8521.1,,
4,8507.0,,
3,8496.8,,
313,8479.9,,
208,8479.0,,
100,8452.1,,
322,8446.4,,
267,8430.5,,
354,8417.7,,
130,8382.7,,
282,8379.4,,
398,8353.6,,
115,8349.8,,
321,8342.9,,
274,8326.3,,
280,8326.1,,
346,8309.4,,
255,8300.6,,
184,8279.7,,
287,8268.8,,
26,8263.9,,
18,8254.1,,
395,8243.3,,
259,8238.1,,
106,8237.5,,
330,8237.0,,
400,8222.1,,
186,8221.6,,
340,8215.8,,
326,8209.8,,
176,8205.7,,
249,8194.7,,
146,8120.8,,
270,8114.2,,
394,8110.9,,
124,8108.4,,
101,8107.5,,
392,8106.9,,
286,8102.9,,
277,8102.8,,
9,8056.3,,
399,8055.0,,
187,8034.6,,
367,8031.3,,
290,8028.2,,
342,8023.7,,
143,8012.7,,
133,7995.3,,
362,7992.6,,
203,7990.5,,
361,7982.1,,
182,7981.4,,
397,7956.8,,
260,7950.1,,
93,7930.1,,
307,7917.2,,
109,7906.8,,
390,7841.3,,
364,7808.8,,
291,7787.8,,
264,7786.4,,
328,7784.5,,
271,7775.7,,
337,7769.2,,
283,7737.8,,
275,7717.4,,
41,7711.2,,
61,7691.7,,
28,7691.6,,
305,7684.8,,
301,7680.3,,
86,7648.9,,
387,7644.7,,
402,7642.8,,
393,7629.6,,
219,7624.4,,
48,7622.9,,
171,7620.2,,
383,7618.5,,
71,7565.5,,
389,7534.2,,
92,7491.9,,
238,7485.0,,
335,7480.4,,
37,7471.3,,
266,7457.7,,
327,7454.0,,
126,7451.3,,
33,7450.8,,
181,7433.2,,
11,7367.9,,
325,7333.2,,
172,7332.9,,
378,7312.2,,
149,7300.6,,
385,7286.2,,
32,7212.4,,
30,7188.2,,
138,7180.9,,
329,7166.0,,
72,7165.0,,
68,7154.2,,
236,7136.4,,
360,7119.8,,
225,7101.7,,
269,7052.3,,
58,7051.8,,
21,7037.4,,
278,7002.4,,
127,7000.9,,
254,6956.2,,
295,6955.7,,
237,6929.2,,
331,6871.5,,
59,6834.8,,
67,6820.8,,
323,6746.3,,
1,6726.4,,
319,6702.9,,
265,6648.4,,
196,6647.1,,
104,6637.3,,
175,6630.0,,
345,6625.1,,
139,6561.0,,
406,6503.4,,
336,6489.9,,
276,6428.6,,
16,6414.4,,
29,6394.7,,
179,6318.3,,
173,6307.8,,
54,6290.9,,
365,6269.3,,
62,6259.4,,
300,6138.8,,
384,6082.0,,
312,6024.4,,
288,6013.5,,
289,6004.6,,
388,5912.7,,
303,5884.0,,
82,5835.2,,
350,5759.3,,
213,5731.2,,
318,5684.8,,
51,5609.7,,
137,5440.7,,
407,5362.1,,
244,5172.9,,
23,4545.2,,
183,12073.2,MSE>11458,
17,10837.7,KNOWN_BROKEN (practice.js static-PNG fallback),
229,10378.0,KNOWN_BROKEN (practice.js static-PNG fallback),
132,10357.1,KNOWN_BROKEN (practice.js static-PNG fallback),
152,10240.8,KNOWN_BROKEN (practice.js static-PNG fallback),
79,9379.9,KNOWN_BROKEN (practice.js static-PNG fallback),
168,8885.5,KNOWN_BROKEN (practice.js static-PNG fallback),
